Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Anus,Persons,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,392,77.0,72.3,81.7
Anus,Persons,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,"1,925",90.2,88.8,91.7
Anus,Persons,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,"1,925",88.2,86.4,90.0
Anus,Persons,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,24,70.9,53.2,88.7
Anus,Persons,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,82,78.3,69.3,87.2
Anus,Persons,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,106,56.0,46.6,65.5
Anus,Persons,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,150,49.3,41.2,57.4
Anus,Persons,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,132,44.0,35.1,53.0
Anus,Persons,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,494,55.2,50.7,59.7
Anus,Persons,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,494,53.3,48.8,58.2
Anus,Persons,15-44,Non-standardised,Unstageable,1-year,2013-2017,England,19,94.7,85.0,104.5
Anus,Persons,45-54,Non-standardised,Unstageable,1-year,2013-2017,England,34,88.4,77.8,99.0
Anus,Persons,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,80,85.1,77.1,93.1
Anus,Persons,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,101,79.3,71.2,87.4
Anus,Persons,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,142,61.1,52.4,69.8
Anus,Persons,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,376,75.3,70.6,79.9
Anus,Persons,All ages,Age-standardised,Unstageable,1-year,2013-2017,England,376,76.7,72.4,81.2
Anus,Persons,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,83,95.3,90.7,99.8
Anus,Persons,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,168,95.5,92.2,98.7
Anus,Persons,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,219,90.5,86.5,94.5
Anus,Persons,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,206,82.1,76.7,87.5
Anus,Persons,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,337,58.6,52.8,64.5
Anus,Persons,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,"1,013",79.4,76.7,82.1
Anus,Persons,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,"1,013",78.3,75.5,81.3
Anus,Persons,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,388,93.4,90.9,95.9
Anus,Persons,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,"1,023",94.6,93.1,96.0
Anus,Persons,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,"1,451",91.9,90.4,93.3
Anus,Persons,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,"1,499",86.4,84.5,88.2
Anus,Persons,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,"1,475",73.0,70.5,75.6
Anus,Persons,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"5,836",86.3,85.3,87.2
Anus,Persons,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"5,836",84.8,83.8,85.9
Anus,Persons,15-44,Non-standardised,Stage 1,5-years,2013-2017,England,58,:,:,:
Anus,Persons,45-54,Non-standardised,Stage 1,5-years,2013-2017,England,138,:,:,:
Anus,Persons,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,199,91.6,84.1,99.0
Anus,Persons,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,164,:,:,:
Anus,Persons,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,140,72.0,47.4,96.5
Anus,Persons,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,699,87.4,81.4,93.4
Anus,Persons,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,699,:,:,:
Anus,Persons,15-44,Non-standardised,Stage 2,5-years,2013-2017,England,72,:,:,:
